Linux 6.2.0-36-generic (alexey-ubuntu) 	20.11.2023 	_x86_64_	(8 CPU)

00:08:27      UID       PID   cswch/s nvcswch/s  Command
00:08:47        0    240815      0,00  31075,25  stress-ng
00:08:47        0    240816      0,00  26023,76  stress-ng
00:08:47        0    240817      0,00  11920,79  stress-ng
00:08:47        0    240818      0,00  13420,79  stress-ng
00:08:47        0    240819      0,00   9862,38  stress-ng
00:08:47        0    240820      0,00  28374,26  stress-ng

00:08:47      UID       PID   cswch/s nvcswch/s  Command
00:08:48        0    240803      9,62      0,00  stress-ng
00:08:48        0    240804      9,62      0,00  stress-ng
00:08:48        0    240805      0,00  30599,04  stress-ng
00:08:48        0    240806      0,00  25229,81  stress-ng
00:08:48        0    240807      0,00  10459,62  stress-ng
00:08:48        0    240808      0,00  22507,69  stress-ng
00:08:48        0    240809      0,00  18000,96  stress-ng
00:08:48        0    240810      0,00  20393,27  stress-ng
00:08:48        0    240811      0,00  26504,81  stress-ng
00:08:48        0    240812      0,00  26183,65  stress-ng
00:08:48        0    240813      0,00  18295,19  stress-ng
00:08:48        0    240814      0,00  16514,42  stress-ng
00:08:48        0    240815      0,00  31707,69  stress-ng
00:08:48        0    240816      0,00  22113,46  stress-ng
00:08:48        0    240817      0,00  24195,19  stress-ng
00:08:48        0    240818      0,00  22775,00  stress-ng
00:08:48        0    240819      0,00  13497,12  stress-ng
00:08:48        0    240820      0,00  30903,85  stress-ng

00:08:48      UID       PID   cswch/s nvcswch/s  Command
00:08:49        0    240803      7,84      0,00  stress-ng
00:08:49        0    240804      7,84      0,00  stress-ng
00:08:49        0    240805      0,00  19035,29  stress-ng
00:08:49        0    240806      0,00  18818,63  stress-ng
00:08:49        0    240807      0,00   7696,08  stress-ng
00:08:49        0    240808      0,00  26392,16  stress-ng
00:08:49        0    240809      0,00  31739,22  stress-ng
00:08:49        0    240810      0,00  27536,27  stress-ng
00:08:49        0    240811      0,00   3387,25  stress-ng
00:08:49        0    240812      0,00  26604,90  stress-ng
00:08:49        0    240813      0,00  19618,63  stress-ng
00:08:49        0    240814      0,00  17563,73  stress-ng
00:08:49        0    240815      0,00  16539,22  stress-ng
00:08:49        0    240816      0,00  25805,88  stress-ng
00:08:49        0    240817      0,00  35053,92  stress-ng
00:08:49        0    240818      0,00  23769,61  stress-ng
00:08:49        0    240819      0,00  21864,71  stress-ng
00:08:49        0    240820      0,00  25017,65  stress-ng

00:08:49      UID       PID   cswch/s nvcswch/s  Command
00:08:50        0    240803      9,00      0,00  stress-ng
00:08:50        0    240804     10,00      0,00  stress-ng
00:08:50        0    240805      0,00  29162,00  stress-ng
00:08:50        0    240806      0,00  35864,00  stress-ng
00:08:50        0    240807      0,00  45426,00  stress-ng
00:08:50        0    240808      0,00  41145,00  stress-ng
00:08:50        0    240809      0,00  39449,00  stress-ng
00:08:50        0    240810      0,00  38676,00  stress-ng
00:08:50        0    240811      0,00   3892,00  stress-ng
00:08:50        0    240812      0,00  47126,00  stress-ng
00:08:50        0    240813      0,00  24572,00  stress-ng
00:08:50        0    240814      0,00  12729,00  stress-ng
00:08:50        0    240815      0,00  41617,00  stress-ng
00:08:50        0    240816      0,00  14358,00  stress-ng
00:08:50        0    240817      0,00  38974,00  stress-ng
00:08:50        0    240818      0,00  40190,00  stress-ng
00:08:50        0    240819      0,00  40084,00  stress-ng
00:08:50        0    240820      0,00  38932,00  stress-ng

00:08:50      UID       PID   cswch/s nvcswch/s  Command
00:08:51        0    240803      9,90      0,00  stress-ng
00:08:51        0    240804      8,91      0,00  stress-ng
00:08:51        0    240805      0,00  47951,49  stress-ng
00:08:51        0    240806      0,00  44841,58  stress-ng
00:08:51        0    240807      0,00  39046,53  stress-ng
00:08:51        0    240808      0,00   3426,73  stress-ng
00:08:51        0    240809      0,00  48847,52  stress-ng
00:08:51        0    240810      0,00  34200,00  stress-ng
00:08:51        0    240811      0,00  49000,00  stress-ng
00:08:51        0    240812      0,00  45821,78  stress-ng
00:08:51        0    240813      0,00  43261,39  stress-ng
00:08:51        0    240814      0,00  39694,06  stress-ng
00:08:51        0    240815      0,00  23311,88  stress-ng
00:08:51        0    240816      0,00  18234,65  stress-ng
00:08:51        0    240817      0,00  50344,55  stress-ng
00:08:51        0    240818      0,00  41182,18  stress-ng
00:08:51        0    240819      0,00  53472,28  stress-ng
00:08:51        0    240820      0,00  33199,01  stress-ng

00:08:51      UID       PID   cswch/s nvcswch/s  Command
00:08:52        0    240803      9,00      0,00  stress-ng
00:08:52        0    240804      9,00      0,00  stress-ng
00:08:52        0    240805      0,00  61073,00  stress-ng
00:08:52        0    240806      0,00  51104,00  stress-ng
00:08:52        0    240807      0,00  51772,00  stress-ng
00:08:52        0    240808      0,00  23182,00  stress-ng
00:08:52        0    240809      0,00  55159,00  stress-ng
00:08:52        0    240810      0,00  66294,00  stress-ng
00:08:52        0    240811      0,00  64242,00  stress-ng
00:08:52        0    240812      0,00  59854,00  stress-ng
00:08:52        0    240813      0,00  41011,00  stress-ng
00:08:52        0    240814      0,00  37828,00  stress-ng
00:08:52        0    240815      0,00  39759,00  stress-ng
00:08:52        0    240816      0,00  45014,00  stress-ng
00:08:52        0    240817      0,00  54013,00  stress-ng
00:08:52        0    240818      0,00  54386,00  stress-ng
00:08:52        0    240819      0,00  60513,00  stress-ng
00:08:52        0    240820      0,00  45052,00  stress-ng

00:08:52      UID       PID   cswch/s nvcswch/s  Command
00:08:53        0    240803      9,90      0,00  stress-ng
00:08:53        0    240804      9,90      0,00  stress-ng
00:08:53        0    240805      0,00  51052,48  stress-ng
00:08:53        0    240806      0,00  56863,37  stress-ng
00:08:53        0    240807      0,00  36036,63  stress-ng
00:08:53        0    240808      0,00  41676,24  stress-ng
00:08:53        0    240809      0,00  18360,40  stress-ng
00:08:53        0    240810      0,00  33250,50  stress-ng
00:08:53        0    240811      0,00  41459,41  stress-ng
00:08:53        0    240812      0,00  47407,92  stress-ng
00:08:53        0    240813      0,00  45623,76  stress-ng
00:08:53        0    240814      0,00  34584,16  stress-ng
00:08:53        0    240815      0,00  48342,57  stress-ng
00:08:53        0    240816      0,00  46596,04  stress-ng
00:08:53        0    240817      0,00  51459,41  stress-ng
00:08:53        0    240818      0,00  49481,19  stress-ng
00:08:53        0    240819      0,00  48930,69  stress-ng
00:08:53        0    240820      0,00  52124,75  stress-ng

00:08:53      UID       PID   cswch/s nvcswch/s  Command
00:08:54        0    240803      8,91      0,00  stress-ng
00:08:54        0    240804      9,90      0,00  stress-ng
00:08:54        0    240805      0,00  43375,25  stress-ng
00:08:54        0    240806      0,00  46751,49  stress-ng
00:08:54        0    240807      0,00  23844,55  stress-ng
00:08:54        0    240808      0,00  40903,96  stress-ng
00:08:54        0    240809      0,00  20077,23  stress-ng
00:08:54        0    240810      0,00  22036,63  stress-ng
00:08:54        0    240811      0,00  49416,83  stress-ng
00:08:54        0    240812      0,00  39300,99  stress-ng
00:08:54        0    240813      0,00  48895,05  stress-ng
