Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:32:34        0    233911    0 DEADLN  stress-ng
23:32:35        0    233911    0 DEADLN  stress-ng
23:32:36        0    233911    0 DEADLN  stress-ng
23:32:37        0    233911    0 DEADLN  stress-ng
23:32:38        0    233911    0 DEADLN  stress-ng
23:32:39        0    233911    0 DEADLN  stress-ng
23:32:40        0    233911    0 DEADLN  stress-ng
23:32:41        0    233911    0 DEADLN  stress-ng
23:32:42        0    233911    0 DEADLN  stress-ng
23:32:43        0    233911    0 DEADLN  stress-ng
23:32:44        0    233911    0 DEADLN  stress-ng
23:32:45        0    233911    0 DEADLN  stress-ng
23:32:46        0    233911    0 DEADLN  stress-ng
23:32:47        0    233911    0 DEADLN  stress-ng
23:32:48        0    233911    0 DEADLN  stress-ng
23:32:49        0    233911    0 DEADLN  stress-ng
23:32:50        0    233911    0 DEADLN  stress-ng
23:32:51        0    233911    0 DEADLN  stress-ng
23:32:52        0    233911    0 DEADLN  stress-ng
23:32:53        0    233911    0 DEADLN  stress-ng
23:32:54        0    233911    0 DEADLN  stress-ng
23:32:55        0    233911    0 DEADLN  stress-ng
23:32:56        0    233911    0 DEADLN  stress-ng
23:32:57        0    233911    0 DEADLN  stress-ng
23:32:58        0    233911    0 DEADLN  stress-ng
23:32:59        0    233911    0 DEADLN  stress-ng
23:33:00        0    233911    0 DEADLN  stress-ng
23:33:01        0    233911    0   IDLE  stress-ng
23:33:02        0    233911    0 DEADLN  stress-ng
23:33:03        0    233911    0 DEADLN  stress-ng
23:33:04        0    233911    0 DEADLN  stress-ng
23:33:05        0    233911    0 DEADLN  stress-ng
23:33:06        0    233911    0 DEADLN  stress-ng
23:33:07        0    233911    0 DEADLN  stress-ng
23:33:08        0    233911    0 DEADLN  stress-ng
23:33:09        0    233911    0 DEADLN  stress-ng
23:33:10        0    233911    0 DEADLN  stress-ng
23:33:11        0    233911    0 DEADLN  stress-ng
23:33:12        0    233911    0 DEADLN  stress-ng
23:33:13        0    233911    0 DEADLN  stress-ng
23:33:14        0    233911    0 DEADLN  stress-ng
23:33:15        0    233911    0 DEADLN  stress-ng
23:33:16        0    233911    0 DEADLN  stress-ng
23:33:17        0    233911    0 DEADLN  stress-ng
23:33:18        0    233911    0 DEADLN  stress-ng
23:33:19        0    233911    0 DEADLN  stress-ng
23:33:20        0    233911    0 DEADLN  stress-ng
23:33:21        0    233911    0 DEADLN  stress-ng
23:33:22        0    233911    0   IDLE  stress-ng
23:33:23        0    233911    0 DEADLN  stress-ng
23:33:24        0    233911    0 DEADLN  stress-ng
23:33:25        0    233911    0 DEADLN  stress-ng
23:33:26        0    233911    0 DEADLN  stress-ng
23:33:27        0    233911    0 DEADLN  stress-ng
23:33:28        0    233911    0 DEADLN  stress-ng
23:33:29        0    233911    0 DEADLN  stress-ng
23:33:30        0    233911    0 DEADLN  stress-ng
23:33:31        0    233911    0 DEADLN  stress-ng
