
Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle
00:58:03;7;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;all;98.32;0.00;1.55;0.00;0.00;0.00;0.00;0.00;0.00;0.13
00:58:04;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;1;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;2;96.91;0.00;3.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;3;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;4;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;5;96.84;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;1.05
00:58:04;6;97.98;0.00;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:58:04;7;97.94;0.00;2.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
