pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
4490000;4490000;3.21;6.36;14.16;1398132.26;218810.92;159.74
4500000;4500000;3.12;6.54;13.54;1441531.61;224103.59;160.81
4510000;4510000;3.11;6.36;13.78;1451997.73;223932.47;162.10
4520000;4520000;3.12;6.21;13.97;1449605.93;223984.14;161.80
4530000;4530000;3.32;6.19;14.49;1362753.57;219052.22;155.53
4540000;4540000;3.73;6.36;15.27;1215909.85;209893.67;144.82
4550000;4550000;3.22;6.26;14.16;1413762.30;222820.76;158.62
4560000;4560000;3.18;6.20;14.13;1436119.63;224299.07;160.07
4570000;4570000;3.19;6.37;14.13;1431015.66;222926.83;160.48
4580000;4580000;3.15;6.48;13.90;1455837.28;224730.13;161.95
4590000;4590000;3.16;6.15;14.27;1453692.40;224779.63;161.68
4600000;4600000;3.24;6.60;14.07;1420481.40;222544.75;159.57
4610000;4610000;3.30;6.39;14.47;1396905.25;220997.12;158.02
4620000;4620000;3.69;6.22;15.69;1252701.22;210862.62;148.52
4630000;4630000;3.73;6.03;15.90;1241146.66;211126.31;146.97
4640000;4640000;3.24;6.56;14.34;1433851.07;222009.57;161.46
4650000;4650000;3.20;6.69;14.05;1450892.90;224204.44;161.78
4660000;4660000;3.21;6.57;14.21;1450687.00;224254.09;161.72
4670000;4670000;3.32;6.56;14.68;1408320.76;219868.17;160.13
4680000;4680000;3.33;6.39;14.67;1405049.12;222222.22;158.07
4690000;4690000;3.27;6.51;14.51;1433783.83;223120.84;160.65
4700000;4700000;3.46;6.76;14.83;1358502.74;217693.38;156.01
4710000;4710000;4.08;6.11;17.03;1155337.53;203543.65;141.90
4720000;4720000;3.52;6.43;15.42;1340434.81;216018.31;155.13
4730000;4730000;3.30;6.65;14.62;1435147.69;222378.94;161.34
4740000;4740000;3.43;6.91;14.75;1381985.87;218836.57;157.88
4750000;4750000;3.40;6.73;14.75;1398055.88;221135.94;158.05
4760000;4760000;3.42;6.76;14.90;1392723.86;219759.93;158.44
4770000;4770000;3.36;6.72;14.77;1419236.17;221963.70;159.85
